Order ID,Order Date,Shop,Pick Up Emirate,Drop Off Emirate,Drop Off Area,Delivery Company,Status,COD,Delivery Cost,Charge to Customer,Category,Delivery Route,Month - Formula,Month
3050,2/9/2020,Shop005,Sharjah,Abu Dhabi,MBZ City ,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3036,2/9/2020,Shop011,Sharjah,Abu Dhabi,NYU AD,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Sharjah to Abu Dhabi,September,September 
3039,2/9/2020,Shop016,Dubai,Dubai,Marina Walk,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3034,2/9/2020,Shop023,Abu Dhabi,Al Ain,Al Mu'tarid,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3042,2/9/2020,Shop016,Dubai,Dubai,Al barsha south,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3031,2/9/2020,Shop001,Abu Dhabi,Al Ain,"Hili Rumailah 
villa 15 street 13",DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3052,2/9/2020,Shop015,Dubai,Ras Al Khaimah,The Ritz-Carlton ,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3047,2/9/2020,Shop005,Sharjah,Dubai,AlQuoz 2,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Dubai,September,September 
3038,2/9/2020,Shop024,Abu Dhabi,Sharjah,Al noad,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Sharjah,September,September 
3046,2/9/2020,Shop016,Dubai,Dubai,Business Bay,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3051,2/9/2020,Shop025,Sharjah,Al Ain,9th St.,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Sharjah to Al Ain,September,September 
3057,2/9/2020,Shop007,Sharjah,Al Ain,Al Douah,DeliveryCompany01,Delivered,AED 125.00,AED 32.00,AED 50.00,,Sharjah to Al Ain,September,September 
3099,3/9/2020,Shop026,Dubai,Dubai,,DeliveryCompany04,Delivered,,AED 35.00,AED 45.00,,Dubai to Dubai,September,September 
3080,3/9/2020,Shop018,Dubai,Al Ain,Al Masoudi ,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Al Ain,September,September 
3079,3/9/2020,Shop017,Dubai,Dubai,AlGharhoud,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Dubai,September,September 
3076,3/9/2020,Shop016,Dubai,Dubai,The Lakes,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3077,3/9/2020,Shop016,Dubai,Dubai,Palm Jumeiurah,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3074,3/9/2020,Shop016,Dubai,Dubai,Meadows1,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3092,3/9/2020,Shop027,Abu Dhabi,Al Ain,AlFaqaa,DeliveryCompany01,Delivered,AED 50.00,AED 32.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3083,3/9/2020,Shop020,Abu Dhabi,Abu Dhabi,Villa 12 Al Muroor,DeliveryCompany05,Delivered,,AED 18.00,AED 45.00,,Abu Dhabi to Abu Dhabi,September,September 
3071,3/9/2020,Shop016,Dubai,Dubai,Downtown,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3073,3/9/2020,Shop016,Dubai,Dubai, Palm jumeirah,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3069,3/9/2020,Shop018,Abu Dhabi,Dubai,AlMizhar 1,DeliveryCompany01,Delivered,AED 215.00,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3098,3/9/2020,Shop026,Dubai,Dubai,Oud Mteena,DeliveryCompany04,Delivered,,AED 35.00,AED 45.00,,Dubai to Dubai,September,September 
3094,3/9/2020,Shop028,Ajman,Abu Dhabi,MBZ City ,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Ajman to Abu Dhabi,September,September 
3082,3/9/2020,Shop022,Abu Dhabi,Dubai,Oasis Villas,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3084,3/9/2020,Shop020,Abu Dhabi,Abu Dhabi,Yas Island,DeliveryCompany05,Delivered,,AED 18.00,AED 45.00,,Abu Dhabi to Abu Dhabi,September,September 
3065,3/9/2020,Shop006,Dubai,Dubai,DIFC,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3067,3/9/2020,Shop007,Sharjah,Al Ain,Al Fouah,DeliveryCompany01,Delivered,AED 125.00,AED 32.00,AED 50.00,,Sharjah to Al Ain,September,September 
3089,3/9/2020,Shop011,Sharjah,Abu Dhabi,NYU AD,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Sharjah to Abu Dhabi,September,September 
3090,3/9/2020,Shop029,Dubai,Abu Dhabi,Al Maqta,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
